Date,is_workday,Contest number,Word,Number of reported results,Number in hard mode,percent in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),ATN,GloVe
2022/1/13,1,208,abbey,132726,3345,0.025202296,1,2,13,29,31,20,3,4.65,
2022/9/25,0,463,admit,28994,2677,0.092329447,0,10,25,34,22,8,1,3.99,
2022/12/4,0,533,adore,25577,2398,0.093756109,2,17,32,29,15,5,1,3.63,
2022/7/7,1,383,agape,43407,3671,0.084571613,0,2,18,36,27,15,3,4.57,
2022/3/4,1,258,ahead,203730,9396,0.046119865,1,5,20,35,26,12,2,4.33,
2022/5/24,1,339,album,63380,4809,0.075875671,0,5,26,35,24,9,1,4.12,
2022/8/6,0,413,alien,38841,3395,0.087407636,3,17,31,29,15,4,0,3.45,
2022/9/20,1,458,alike,31277,2843,0.090897465,0,6,20,33,27,12,2,4.31,
2022/3/19,0,273,allow,156311,8515,0.054474733,0,5,21,32,26,14,3,4.45,
2022/2/5,0,231,aloft,319698,13708,0.042877966,1,4,22,36,25,11,2,4.3,
2022/11/3,1,502,aloud,29554,2819,0.095384719,1,18,31,30,15,4,1,3.59,
2022/9/13,1,451,alpha,29497,2706,0.091738143,0,3,19,40,28,9,1,4.27,
2022/12/6,1,535,amber,23509,2261,0.096175933,0,6,22,33,24,12,3,4.32,
2022/4/17,0,302,ample,106681,7008,0.065691173,0,4,20,35,27,11,2,4.29,
2022/7/19,1,395,angry,39667,3358,0.084654751,0,5,27,38,21,7,1,4.0,
2022/12/23,1,552,aorta,21937,2112,0.096275699,0,7,26,35,20,10,3,4.22,
2022/7/21,1,397,aphid,39086,3367,0.086143376,0,6,24,36,23,9,2,4.17,
2022/12/12,1,541,apply,22873,2150,0.093997289,0,5,28,38,22,7,1,4.08,
2022/6/16,1,362,apron,53430,4112,0.076960509,0,7,30,38,19,5,1,3.91,
2022/10/31,1,499,aptly,26498,2572,0.097063929,0,3,26,41,23,7,1,4.15,
